image_id,file_name,instances,density_group,density_source,domain,domain_source,growth_stage,stage_source,mean_instance_occlusion,occlusion_group
19,03d0785cb8cc50ef6fa2a85a702944f4a81d4828d5cb9ec012613e1fb29f3172.png,37,30-40,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0336187208477788,Low (<10%)
20,0427655c8768cff9ea393a1c403647688f5e793b59d7bd7f55c373b1c56e9904.png,40,40-50,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.005849762365780673,Low (<10%)
21,0472f4661646f274ef6b0dab0611178da02febfe6cd0f01e2ad5cded14e65d19.png,58,50-60,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.10756483646583166,Medium (10-30%)
22,0488c66968cdc55dc1003d227d9a777becd298ef307ea450c2c6df1bc4a738b1.png,82,80-100,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.13612364079784914,Medium (10-30%)
23,04938ad9266f2043432f69ee779a69d69321f4ebf53e14ddcde01846ee69f337.png,53,50-60,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.09949433893869246,Low (<10%)
24,04cd5c034245280b5b556a6a1beb91abadaa6a46848a177b1e1dff3b5066d2af.png,2,0-10,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0,Low (<10%)
25,04e677634f44580c6f786dfb8f1e083043a5c9f5e8525d66e9f6f63e883b5727.png,79,70-80,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.23851005245315493,Medium (10-30%)
26,051e6cd0159e61164455b5f1a79014c07f251bf4b8ecae3bfe488d4a1ebdd43e.png,38,30-40,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11732850163321831,Medium (10-30%)
27,053782bc6613ac78587799a3805186ac11b25cd2384633249a4a4f8b27bad45d.png,22,20-30,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0664109928048996,Low (<10%)
28,05380e946fa5709a6838c1aed086d4afb71a392db6d866baf6df8acb1a5c9509.png,56,50-60,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.07826275241724913,Low (<10%)
29,055c6a85dc99765e12732c37030a42d2f77c9cbdb39cafc2c3a1bd0bc9119537.png,45,40-50,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.09762930709544708,Low (<10%)
30,0566c7397efbd5c0043983a797dacdd1b27d4b47fec5ea46de4016542fd3f058.png,24,20-30,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.01196043387676815,Low (<10%)
31,058ed599285facc04b951f54c837c8e4bcf2b52facf29935dcd2c39ae296319f.png,35,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.003780663780663781,Low (<10%)
32,05cf9e79e69b6a02a9eec8ba5da99e1a81c24fead721cd7bacb7376b30d4ffac.png,60,60-70,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.08192378170313538,Low (<10%)
33,05e36a09595e3c0dd4a4711cda1b53b1926ab3fb7515b1a6ce5a110d9d6f5b94.png,33,30-40,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.29205184091604813,Medium (10-30%)
34,06322303329973a0ecbc55444a2f5a1177de14a2241d38284c441996d6849f20.png,29,20-30,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
35,06342a8d321452ca4df2fdd93d73a87a0849920532005b3fc4f9a8ca2e8bb737.png,49,40-50,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.02295876306978234,Low (<10%)
36,06476e999d8e663d4bb6f2c55a852706732544215b66872f55fe892854dd3a5d.png,36,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
37,0648a19e4d9ceff6d30513bfd4acab2a20560a60224d73c5b5f60c59c8badd2d.png,41,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
38,065a662ea0eeb4e13b61d18ea39605692ab9267878b6813a3445a4fc8502dacb.png,78,70-80,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11725269302880449,Medium (10-30%)
39,065fce8a1aca06e51e65a9614eafdd9604e449ce2e5f56a5925fdc32546220eb.png,1,0-10,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.0,Low (<10%)
40,066768d7d2f94b5dae0f13e0bbbb96ea4b884dc1fa3571ade6f4d6c633632337.png,59,50-60,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0431400130124881,Low (<10%)
41,074156089112d9700f2963336f2875a14bf595d81156eb3b1be5d5668accce3d.png,5,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%)
42,074517865504d621bd97b831b421fbf1349201745f03606f6ce7605fdea214fb.png,0,0-10,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
43,0794f4a31991992888a5656bbf68dfe769b77f0cc3e91a90df9a9492f1853c85.png,103,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.12006076512991593,Medium (10-30%)
44,07d0b748e0c6560edd7e3c9be8bccdd92717496cbb0c49827a3d187482d9f075.png,29,20-30,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.017227695675971537,Low (<10%)
45,07e2b5e1fcdd920773dab077f83c17fef9eb000aa0f7772ae2736b0a83371a77.png,33,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.1384384332533755,Medium (10-30%)
46,08455423ac250c65fb5cc0e04d95f8df0ac7f63f9ce12a3e4f1bd85a013f0089.png,69,60-70,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.05128599106791197,Low (<10%)
47,0886b670ee0300cc6c9cde662ec7518e6f293c358206e1c313104b6385b06e6d.png,60,60-70,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.054169010876512796,Low (<10%)
48,08ab46fdcf86c9787eeb0097058eb6f893134c7a6480928e753700320b4b6e0d.png,19,10-20,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10722938576930682,Medium (10-30%)
49,08d57a1851264ff151b47acc87d326c85c52eed6a72ef01fb94e25f4c40e3990.png,22,20-30,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.02335010586601255,Low (<10%)
50,08ef01926a2270f9a12c2ac616aad21bc1ab280552609f54b9ff3a17c2b9d520.png,54,50-60,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06276512506008534,Low (<10%)
51,091aeb5a852cb80dac35ae4a4ee0c7e622b3dc7bd7d9996ffa129f91605e3308.png,48,40-50,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.2833806815786987,Medium (10-30%)
52,092aaa3df4aef5d7f899eda7ed20deaf746fda257bdd0aef0070eddba66c8d0c.png,40,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.047031154669583006,Low (<10%)
53,095d81733ccc50cdd10039f40993f8feaa7cf5db6b1ce31d4339244adf835d33.png,44,40-50,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.10873915590738431,Medium (10-30%)
54,09a26f6bba5514b27d76f102ca45ffdb6d968e0c5e07a2229995366a942b35c3.png,61,60-70,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06481384637219711,Low (<10%)
55,0a2ca7f12937ecf30083e59d60e6e385bf87f82290c58f15f1414eddf287d4b0.png,56,50-60,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.05425509533493721,Low (<10%)
56,0a324899c5d4571a2bdf46ddd05bda85557cab53813bb5191ae483ae264813f0.png,120,>100,authoritative_subset_annotations,UQ_8,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.08029753093283412,Low (<10%)
57,0a8452c57ad7157d02c746f8fd9c4747ec2433d8431953125828ba4e730f6e3b.png,56,50-60,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0211072817302987,Low (<10%)
58,0aa03405bc8a993d4b9b661f4564d8465f020aa1bb7b2d8994baa734f18cfa8a.png,90,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.1284326295868071,Medium (10-30%)
59,0af5c1bc753619e4f5d504e5424d056af22954f04d50cd0d4a21682cfdd9a4dc.png,55,50-60,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.08591213905091168,Low (<10%)
60,0b1316a075357442ca6d27e50298cbe039ddfa21acad2541986ad266294319b1.png,82,80-100,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.13883022923389962,Medium (10-30%)
61,0b1b49d57805b13be64adf182dd71467e28519342610287d16baabdab24e1c81.png,65,60-70,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.009482635641057035,Low (<10%)
62,0b4002387f380a0f3c1dfd744e438004614567174b0d5af4ac3dcc50ec5d05cb.png,20,20-30,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.008181118693964939,Low (<10%)
63,0bc37eae204ccb2c99f428443a45b49ea87dd86b614b4bbc02fe59cc6a192bb7.png,65,60-70,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.05755926501232802,Low (<10%)
64,0bf9275f3ae0583718311cdbffc3ce103324bccdc2bc902b27b427c6f0b63fc0.png,20,20-30,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.002806954356477467,Low (<10%)
65,0c25918b8e9f2f14d330f10964ffffca7ad45cd7b43cc6e2f845ab9a66cd5e5a.png,114,>100,authoritative_subset_annotations,UQ_7,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.04854229750585127,Low (<10%)
66,0c34ef42ad0bfabb334f745d4e3ba7eac85556314402fc500221373d4ddcfed6.png,104,>100,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.17313567663208035,Medium (10-30%)
67,0c5c62fa5b62f2d08b34d895016db54a89e63df00a0689e6372eb210988b6f35.png,43,40-50,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.10245583671444643,Medium (10-30%)
68,0ca12ceda4a040775254a668b3276cf51108be03fffbde62bc21d44b53f252da.png,21,20-30,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.15113320976909922,Medium (10-30%)
69,0cd060381162dcb6cc6b3b8a19e3e1b60935378154430970a53180926fbd6889.png,40,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.15462420469524132,Medium (10-30%)
70,0ce62e81979a2265b4aaf0643a58266847cf56c35814b23c5dd8cdf9868f36ab.png,41,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.09472430018179163,Low (<10%)
71,0cee4c2e766b6488e05f97173ab2d4710322cda25852ad44a97942fa5894fce8.png,19,10-20,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
72,0d1be402e3807c7de7452207a09d830d51f335908494a3266dd09bcdebc2ff3a.png,39,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0930202011947063,Low (<10%)
73,0d2c34b3591758aed2c17da331cea64ba0a1b015c55db1069044291a119e6940.png,87,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.09412594447008768,Low (<10%)
74,0d78513c450873231133cd2a16ecf4f69a5844c0bdf346e492b6e16e2b37f038.png,97,80-100,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.07800351667864298,Low (<10%)
75,0ea6d3aa4cec9be894de9f56cdf491eed3597712c0de8ba0e0d8fa292e322e74.png,55,50-60,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.23496057413741803,Medium (10-30%)
76,0eb090c88e8cc51f513dfc00f9ef9fc442b9447ddfbb67ecbdba313ed68d711d.png,41,40-50,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
77,0ee07fade0df8422c562542dfb0540a77772ea5b037bfe4e05df777c3bbc3349.png,53,50-60,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.04202120732801321,Low (<10%)
78,0eeb8c2dbd7100a75ab6f105da336627eca8e0218c97b3585b1f8411b4b394d5.png,10,10-20,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
79,0f6891368fd4359e863bf7aacb5ee19184e02c730fb3ca97d433a3bc84620963.png,33,30-40,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.003406851591408433,Low (<10%)
80,0f7661663d69f8085bb4ebc935723cb043bd8856ebe44a9817e40c51f33dc94f.png,47,40-50,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.10869521784003978,Medium (10-30%)
81,0fa7ad7d09e4a768b957757bc8a80cd1157dbef1ebad4ff254207d32d4aca2b7.png,57,50-60,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.12247440573488429,Medium (10-30%)
82,0fd1d87d49aa0f7faadf8d4cef5f3ab6ccdeb671770e952cc83a5c008da98ce4.png,73,70-80,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.08517629077843518,Low (<10%)
83,1048fcf4a56852c243c1ae2f858bf43f4dd76dac2deae02e1832c79a2bd444d7.png,30,30-40,authoritative_subset_annotations,NAU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.047499352018628066,Low (<10%)
84,10877c66a2515be092f3af4c9f70da3f8159b565926decc136f68edf9b39c2ca.png,91,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.107170657626134,Medium (10-30%)
85,10b4bae941a7a4f00b7679f925cd1d5408215fb6d88695140c29bbbe716ec996.png,43,40-50,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.13435790636258726,Medium (10-30%)
86,10becfe2c84abc84734cf3141607afb3e002b771e2e69a969f20d604773b3cdd.png,70,70-80,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.029622222638095268,Low (<10%)
87,10c6cef779e5f837330801643c4d77064c9c8d0111f76f776c0405c1d61ba4b0.png,37,30-40,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.04958853827067195,Low (<10%)
88,10db89e0cdaf5640e8b0648e66d2e4c7fe9df5fdbe387645686ed75f493b45ba.png,7,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%)
89,1145d0434ca27b4b1cab02aff453791870013986c93e381bb53630f303e9acac.png,30,30-40,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03238611777708743,Low (<10%)
90,115059bb3f11b21678f44b4fd17326df6e4701afce2e27bf3c2ce3da8de825a2.png,0,0-10,authoritative_subset_annotations,CIMMYT_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0,Low (<10%)
91,1189faec75605db343cf18a19f573be5822dfbc0874ccfb4802a276b95b9deb8.png,20,20-30,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11315565176487075,Medium (10-30%)
92,11944b36d9fda4c21a7203421dd4a0de61b9d9a8c8448d3418dea4e28c31450a.png,80,80-100,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.06993234837314997,Low (<10%)
93,11c9041ada394ddd15820bdb11871396b8f4583d647d21916dad92c50631e3a8.png,39,30-40,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.00742091159032559,Low (<10%)
94,11f2950bd15de7c55f66c7af78436d0f444c56f332edd455cb8ad2f4cd2fdc76.png,40,40-50,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.05229558870945587,Low (<10%)
95,11f8047802b32eb638a6133a89b0f2b85c68bbc1c8fcd80949cdeedc122de51a.png,69,60-70,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.041885713545846075,Low (<10%)
96,11fad8b91a3ae8b9d61949897ffe085769904c76e13c20061b56244f9e2a45e6.png,25,20-30,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.06258690833296286,Low (<10%)
97,12548a0a717b39a651f9be12901109557bcc86317b8c08eaac229be34967a724.png,71,70-80,authoritative_subset_annotations,KSU_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.15435998215448224,Medium (10-30%)
98,125ab8b4873af5a8186e0549053bc1ac239ed630ae40281a06367eb1e6bf37cd.png,52,50-60,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.09707614215731217,Low (<10%)
99,12906c1e75f9d4742f697961678cc4db0d172389dbfec48fc8fd0d2e49dddbc0.png,0,0-10,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.0,Low (<10%)
100,12c14f1e8a325bca721548ea06d4d00e4ae9d80b8b0dd24841d63a4abcb86aa4.png,48,40-50,authoritative_subset_annotations,CIMMYT_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0337452177121263,Low (<10%)
101,12f56099f14a7dbff4719e5d722ec5bded5651430bfb4085a22ce1ebca267a69.png,64,60-70,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03353194859996803,Low (<10%)
102,1300e2c6f21d4eef09ac874469709c56f2eb166631fc4212119271bae6844c32.png,62,60-70,authoritative_subset_annotations,Ukyoto_1,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.1906269959980837,Medium (10-30%)
103,1322879e9f37661b6688c856d9f76e1a82556996abe6951e6fd24c1230f1abe6.png,49,40-50,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.04284754576628803,Low (<10%)
104,1354bf7a43b1f61953a6a790287b388a1b8c514dac4c3f226ed32c95932846a4.png,105,>100,authoritative_subset_annotations,UQ_9,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.31092806883727936,High (>30%)
105,138500cc312a076b6c6a51ec7ce9fd1905f835278f89326f32e2e2264c3e7bec.png,35,30-40,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.11879208038961797,Medium (10-30%)
106,13a2c0e836005699e29e6b1aa4defb9775de8689467fef6876ab5bca0a806517.png,36,30-40,authoritative_subset_annotations,KSU_2,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.02720769416678894,Low (<10%)
107,13bacd4efda7cc21cdc65d94d5411d2153d29bff3cb5cc53f1f6a76a7afdd44d.png,51,50-60,authoritative_subset_annotations,KSU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.004755608771498198,Low (<10%)
108,13be9864181fef2815dfe9c89745a0b54ceb6a45d94d1d30fef642c8aa9a3caf.png,80,80-100,authoritative_subset_annotations,UQ_11,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.0953130005138148,Low (<10%)
109,13cf93ca868f90fcf60074d49d882071c068240f4e752131c1311f94693fc925.png,62,60-70,authoritative_subset_annotations,KSU_4,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.20469481667930034,Medium (10-30%)
110,147c34aeea62d8a2b9e9a6d271621eee0809d14d067cd99de94c81794ce8225f.png,26,20-30,authoritative_subset_annotations,Terraref_1,authoritative_subset_annotations,Ripening,authoritative_subset_annotations,0.06343697283200919,Low (<10%)
111,148b068c6119f5b704a657c8af92ed6e138c0702306fd2b6068417d950c6de28.png,30,30-40,authoritative_subset_annotations,ARC_1,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.11768179677513484,Medium (10-30%)
112,14a25ffd6e3e4081c6fd68fb38d67611c36ab1fbdabe1f36d2395a450da7ac94.png,93,80-100,authoritative_subset_annotations,UQ_10,authoritative_subset_annotations,Filling-Ripening,authoritative_subset_annotations,0.34131455119326637,High (>30%)
113,14a4c1737cbbc080b6b297c5e6e9b11fd9ee4d35db728d61b7b803fab7246e4a.png,25,20-30,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.010247571625421732,Low (<10%)
114,14a61c5504c34b5f9f7dd3c1b57a15ec712a73156b9e7a63447e9591ba918470.png,35,30-40,authoritative_subset_annotations,CIMMYT_3,authoritative_subset_annotations,Post-Flowering,authoritative_subset_annotations,0.03722142273587341,Low (<10%)
115,14c6fa8ba96a5b5b865e231bdea1ee23ddacc2760d1e2f51e767d81e4066508a.png,12,10-20,authoritative_subset_annotations,Terraref_2,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.028074995180258338,Low (<10%)
116,14d69c45bb8ae218d41a7905dda03e404eb3bf19ca5718d828b61d779a147260.png,38,30-40,authoritative_subset_annotations,NAU_3,authoritative_subset_annotations,Filling,authoritative_subset_annotations,0.3221953774422925,High (>30%)
